"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2024",0.0601679571228501,0.0377405037633346,0.0825954104823656,0.0258681271109984,0.0944677871347018
"2025",0.0445485069887315,0.00664618607971453,0.0824508278977484,-0.0134180906179625,0.102515104595425
"2026",0.0388479419480137,-0.00415705408652497,0.0818529379825524,-0.0269225238288862,0.104618407724914
"2027",0.0367674306941335,-0.00932394603507809,0.0828588074233452,-0.0337232470248961,0.107258108413163
"2028",0.0360081152496812,-0.0125309361003119,0.0845471665996743,-0.0382259577657879,0.11024218826515
"2029",0.0357309910845951,-0.014991438817004,0.0864534209861942,-0.0418422712704356,0.113304253439626
"2030",0.035629850243281,-0.0171354411659261,0.0883951416524881,-0.0450676991774937,0.116327399664056
"2031",0.0355929372956911,-0.019121447933071,0.0903073225244533,-0.0480854938871016,0.119271368478484
"2032",0.0355794653324162,-0.021010747991963,0.0921696786567954,-0.0509677973570005,0.122126728021833
"2033",0.035574548526625,-0.022829094077049,0.093978191130299,-0.0537461149150415,0.124895211968292
"2034",0.035572754060689,-0.0245889085031428,0.0957344166245208,-0.0564365688923469,0.127582077013725
"2035",0.0355720991420015,-0.0262973752359884,0.0974415735199913,-0.0590490965894032,0.130193294873406
"2036",0.0355718601190818,-0.0279594367761666,0.0991031570143302,-0.0615908738305999,0.132734594068764
"2037",0.0355717728838918,-0.0295789369205166,0.1007224826883,-0.0640676393855609,0.135211185153345
"2038",0.0355717410460313,-0.0311590812198282,0.102302563311891,-0.0664842446951655,0.137627726787228
"2039",0.0355717294263013,-0.0327026412418971,0.1038461000945,-0.0688449098838315,0.139988368736434
"2040",0.0355717251854972,-0.0342120588917842,0.105355509262779,-0.0711533627264112,0.142296813097406
"2041",0.0355717236377488,-0.0356895089499024,0.1068329562254,-0.0734129267819753,0.144556374057473
"2042",0.0355717230728736,-0.0371369420943083,0.108280388240055,-0.0756265844498516,0.146770030595599
"2043",0.0355717228667135,-0.0385561173836778,0.109699563117105,-0.0777970256477208,0.148940471381148
"2044",0.0355717227914721,-0.0399486281483968,0.111092073731341,-0.0799266870435377,0.151070132626482
"2045",0.0355717227640115,-0.0413159232563393,0.112459368784362,-0.0820177844454878,0.153161229973511
"2046",0.0355717227539894,-0.0426593248837676,0.113802770391746,-0.0840723399316058,0.155215785439585
"2047",0.0355717227503316,-0.0439800435296298,0.115123489030293,-0.0860922047944129,0.157235650295076
"2048",0.0355717227489967,-0.0452791908015193,0.116422636299513,-0.0880790790888774,0.159222524586871
"2049",0.0355717227485095,-0.0465577903732615,0.11770123587028,-0.0900345283882332,0.161177973885252
"2050",0.0355717227483316,-0.047816787427088,0.118960232923751,-0.0919599982236766,0.16310344372034
"2051",0.0355717227482667,-0.0490570568301345,0.120200502326668,-0.0938568265889255,0.165000272085459
"2052",0.0355717227482431,-0.0502794102470876,0.121422855743574,-0.0957262548179592,0.166869700314445
"2053",0.0355717227482344,-0.051484602353586,0.122628047850055,-0.0975694370875537,0.168712882584023
"2054",0.0355717227482313,-0.0526733362856068,0.123816781782069,-0.0993874487513834,0.170530894247846
"2055",0.0355717227482301,-0.0538462684366384,0.124989713933099,-0.101181293676658,0.172324739173119
"2056",0.0355717227482297,-0.0550040126955902,0.12614745819205,-0.102951910725446,0.174095356221905
"2057",0.0355717227482295,-0.0561471442031262,0.127290589699585,-0.104700179499485,0.175843624995944
"2058",0.0355717227482295,-0.0572762026916645,0.128419648188123,-0.106426925448279,0.177570370944738
"2059",0.0355717227482295,-0.0583916954640926,0.129535140960552,-0.108132924424641,0.1792763699211
"2060",0.0355717227482295,-0.059494100057842,0.130637545554301,-0.109818906759048,0.180962352255507
"2061",0.0355717227482295,-0.060583866634016,0.131727312130475,-0.111485560913498,0.182629006409957
"2062",0.0355717227482295,-0.061661420125477,0.132804865621936,-0.113133536766722,0.184276982263181
"2063",0.0355717227482295,-0.062727162172965,0.133870607669424,-0.114763448575225,0.185906894071684
"2064",0.0355717227482295,-0.0637814728742661,0.134924918370725,-0.116375877648406,0.187519323144865
"2065",0.0355717227482295,-0.064824712368031,0.13596815786449,-0.117971374770802,0.189114820267261
"2066",0.0355717227482295,-0.0658572222709568,0.137000667767416,-0.119550462400067,0.190693907896526
"2067",0.0355717227482295,-0.0668793269845904,0.138022772481049,-0.121113636665551,0.19225708216201
"2068",0.0355717227482295,-0.067891334885925,0.139034780382384,-0.122661369189168,0.193804814685627
"2069",0.0355717227482295,-0.0688935394141754,0.140036984910634,-0.12419410874747,0.195337554243929
"2070",0.0355717227482295,-0.0698862200645886,0.141029665561048,-0.12571228279155,0.196855728288009
"2071",0.0355717227482295,-0.0708696432988259,0.142013088795285,-0.127216298839352,0.198359744335811
"2072",0.0355717227482295,-0.0718440633803227,0.142987508876782,-0.128706545753244,0.199849991249703
"2073",0.0355717227482295,-0.0728097231420449,0.143953168638504,-0.130183394914199,0.201326840410658
"2074",0.0355717227482295,-0.073766854693212,0.144910300189671,-0.131647201302635,0.202790646799094
"2075",0.0355717227482295,-0.0747156800708129,0.145859125567272,-0.133098304494823,0.204241749991282
"2076",0.0355717227482295,-0.0756564118410971,0.146799857337556,-0.134537029582788,0.205680475079247
"2077",0.0355717227482295,-0.0765892536556561,0.147732699152115,-0.135963688024761,0.20710713352122
"2078",0.0355717227482295,-0.0775144007662168,0.148657846262676,-0.137378578432491,0.20852202392895
"2079",0.0355717227482295,-0.0784320405018327,0.149575485998292,-0.138781987301042,0.2099254327975
"2080",0.0355717227482295,-0.0793423527117761,0.150485798208235,-0.140174189686139,0.211317635182598
"2081",0.0355717227482295,-0.0802455101770976,0.151388955673557,-0.141555449833596,0.212698895330055
"2082",0.0355717227482295,-0.0811416789935204,0.152285124489979,-0.142926021764902,0.214069467261361
"2083",0.0355717227482295,-0.0820310189280712,0.15317446442453,-0.144286149822638,0.215429595319097
"2084",0.0355717227482295,-0.082913683751619,0.154057129248078,-0.145636069179054,0.216779514675513
"2085",0.0355717227482295,-0.0837898215492785,0.154933267045737,-0.14697600631079,0.218119451807249
"2086",0.0355717227482295,-0.0846595750104556,0.155803020506914,-0.148306179442459,0.219449624938918
"2087",0.0355717227482295,-0.0855230817001415,0.1566665271966,-0.149626798961561,0.22077024445802
"2088",0.0355717227482295,-0.0863804743129175,0.157523919809376,-0.150938067806945,0.222081513303404
"2089",0.0355717227482295,-0.0872318809109973,0.158375326407456,-0.152240181832866,0.223383627329325
"2090",0.0355717227482295,-0.0880774251475166,0.159220870643975,-0.153533330150475,0.224676775646934
"2091",0.0355717227482295,-0.0889172264761724,0.160060671972631,-0.154817695448437,0.225961140944895
"2092",0.0355717227482295,-0.089751400348218,0.160894845844677,-0.156093454294206,0.227236899790665
"2093",0.0355717227482295,-0.0905800583977335,0.161723503894192,-0.157360777417377,0.228504222913836
"2094",0.0355717227482295,-0.0914033086160139,0.162546754112473,-0.15861982997638,0.229763275472839
"2095",0.0355717227482295,-0.092221255515845,0.163364701012304,-0.159870771809731,0.231014217306189
"2096",0.0355717227482295,-0.0930340002863767,0.164177445782836,-0.161113757672877,0.232257203169336
"2097",0.0355717227482295,-0.0938416409392408,0.1649850864357,-0.162348937461676,0.233492382958135
"2098",0.0355717227482295,-0.0946442724465125,0.165787717942971,-0.163576456423382,0.234719901919841
